R_PRODUCTO,C_AGREGADO,VALOR
1,F1,14240300000.0
1,F2,2900000.0
1,F3,0.0
1,F4,1835100000.0
1,F5,365300000.0
1,F6,13252400000.0
1,F7,1568900000.0
2,F1,929900000.0
2,F2,0.0
2,F3,1000000.0
2,F4,793000000.0
2,F5,174300000.0
2,F6,441900000.0
2,F7,447300000.0
3,F1,0.0
3,F2,0.0
3,F3,10000000.0
3,F4,0.0
3,F5,0.0
3,F6,34500000.0
3,F7,4099999.9999999995
4,F1,379400000.0
4,F2,0.0
4,F3,71000000.0
4,F4,58100000.0
4,F5,255900000.0
4,F6,177700000.00000003
4,F7,3900000.0
5,F1,4973200000.0
5,F2,0.0
5,F3,0.0
5,F4,0.0
5,F5,33900000.0
5,F6,603800000.0
5,F7,82400000.0
6,F1,52000000.0
6,F2,0.0
6,F3,0.0
6,F4,0.0
6,F5,-9000000.0
6,F6,39700000.0
6,F7,8800000.0
7,F1,0.0
7,F2,0.0
7,F3,0.0
7,F4,0.0
7,F5,-239800000.0
7,F6,315900000.0
7,F7,100000.0
8,F1,0.0
8,F2,0.0
8,F3,97000000.0
8,F4,0.0
8,F5,26700000.0
8,F6,13900000.0
8,F7,6400000.0
9,F1,0.0
9,F2,0.0
9,F3,0.0
9,F4,0.0
9,F5,125900000.0
9,F6,484200000.00000006
9,F7,461600000.0
10,F1,3300000.0
10,F2,0.0
10,F3,0.0
10,F4,201000000.0
10,F5,41900000.0
10,F6,298600000.0
10,F7,382000000.0
11,F1,18379200000.0
11,F2,0.0
11,F3,0.0
11,F4,0.0
11,F5,597500000.0
11,F6,4163000000.0
11,F7,2146199999.9999998
12,F1,9069300000.0
12,F2,13200000.0
12,F3,0.0
12,F4,0.0
12,F5,68100000.0
12,F6,858599999.9999999
12,F7,244600000.0
13,F1,2623100000.0
13,F2,0.0
13,F3,0.0
13,F4,0.0
13,F5,177500000.0
13,F6,2599400000.0
13,F7,1783800000.0
14,F1,1526500000.0
14,F2,0.0
14,F3,0.0
14,F4,0.0
14,F5,90100000.0
14,F6,486700000.0
14,F7,196400000.0
15,F1,33080500000.0
15,F2,2300000.0
15,F3,0.0
15,F4,0.0
15,F5,373900000.0
15,F6,9158699999.999998
15,F7,3677800000.0
16,F1,7840000000.0
16,F2,0.0
16,F3,0.0
16,F4,0.0
16,F5,263600000.00000003
16,F6,2096800000.0000002
16,F7,1563300000.0
17,F1,4675600000.0
17,F2,0.0
17,F3,0.0
17,F4,0.0
17,F5,113200000.0
17,F6,184400000.0
17,F7,78000000.0
18,F1,13307600000.0
18,F2,0.0
18,F3,0.0
18,F4,0.0
18,F5,70600000.0
18,F6,183500000.0
18,F7,47000000.0
19,F1,2968300000.0
19,F2,0.0
19,F3,1000000.0
19,F4,20500000.0
19,F5,52600000.0
19,F6,2099300000.0000002
19,F7,1540200000.0
20,F1,22044100000.0
20,F2,0.0
20,F3,0.0
20,F4,0.0
20,F5,270000000.0
20,F6,7922400000.0
20,F7,4126600000.0000005
21,F1,8585700000.000001
21,F2,0.0
21,F3,0.0
21,F4,4200000.0
21,F5,106800000.0
21,F6,3214800000.0
21,F7,1114600000.0
22,F1,550600000.0
22,F2,6800000.0
22,F3,0.0
22,F4,45600000.0
22,F5,4000000.0
22,F6,1052100000.0000001
22,F7,472800000.0
23,F1,10300000.0
23,F2,0.0
23,F3,0.0
23,F4,0.0
23,F5,45100000.0
23,F6,1749100000.0
23,F7,971900000.0
24,F1,4430500000.0
24,F2,0.0
24,F3,21800000.0
24,F4,0.0
24,F5,57200000.0
24,F6,1045500000.0
24,F7,341800000.0
25,F1,900000.0
25,F2,5800000.0
25,F3,0.0
25,F4,0.0
25,F5,8800000.0
25,F6,37700000.0
25,F7,28800000.0
26,F1,24222300000.0
26,F2,0.0
26,F3,0.0
26,F4,0.0
26,F5,993800000.0
26,F6,5500099999.999999
26,F7,6900900000.0
27,F1,402100000.0
27,F2,0.0
27,F3,0.0
27,F4,0.0
27,F5,43700000.0
27,F6,9003800000.0
27,F7,5628500000.0
28,F1,10683900000.0
28,F2,0.0
28,F3,0.0
28,F4,0.0
28,F5,133600000.0
28,F6,5341600000.0
28,F7,3965500000.0
29,F1,0.0
29,F2,0.0
29,F3,0.0
29,F4,0.0
29,F5,4200000.0
29,F6,211399999.99999997
29,F7,92200000.0
30,F1,10580500000.0
30,F2,0.0
30,F3,10881200000.0
30,F4,0.0
30,F5,95100000.0
30,F6,7951500000.0
30,F7,4798500000.0
31,F1,2287500000.0
31,F2,600000.0
31,F3,0.0
31,F4,0.0
31,F5,43200000.0
31,F6,2532600000.0
31,F7,832600000.0
32,F1,900300000.0
32,F2,5200000.0
32,F3,0.0
32,F4,113100000.0
32,F5,104400000.0
32,F6,3431100000.0
32,F7,1286100000.0
33,F1,301800000.0
33,F2,0.0
33,F3,0.0
33,F4,6100000.0
33,F5,41300000.0
33,F6,1069800000.0
33,F7,319500000.0
34,F1,292900000.0
34,F2,0.0
34,F3,0.0
34,F4,4000000.0
34,F5,-800000.0
34,F6,1418100000.0
34,F7,1874700000.0
35,F1,5700000.0
35,F2,0.0
35,F3,0.0
35,F4,0.0
35,F5,-142900000.0
35,F6,525299999.99999994
35,F7,586900000.0
36,F1,5100000.0
36,F2,0.0
36,F3,0.0
36,F4,0.0
36,F5,-11100000.0
36,F6,673200000.0
36,F7,451900000.0
37,F1,5700000.0
37,F2,0.0
37,F3,0.0
37,F4,14900000.0
37,F5,-81000000.0
37,F6,9445000000.0
37,F7,4278500000.0
38,F1,879600000.0
38,F2,41600000.0
38,F3,0.0
38,F4,6199400000.0
38,F5,311500000.0
38,F6,5602900000.0
38,F7,3216100000.0
39,F1,1600000.0
39,F2,0.0
39,F3,0.0
39,F4,355800000.0
39,F5,-46800000.0
39,F6,349000000.0
39,F7,212300000.0
40,F1,1524900000.0
40,F2,0.0
40,F3,0.0
40,F4,4237500000.0
40,F5,91500000.0
40,F6,606400000.0
40,F7,254800000.0
41,F1,5849200000.0
41,F2,0.0
41,F3,2000000.0
41,F4,4457400000.0
41,F5,-17599999.999999993
41,F6,2836200000.0
41,F7,1819300000.0
42,F1,1770300000.0
42,F2,0.0
42,F3,0.0
42,F4,3226800000.0
42,F5,-274700000.0
42,F6,5698700000.0
42,F7,3883700000.0
43,F1,4450400000.0
43,F2,0.0
43,F3,0.0
43,F4,241400000.0
43,F5,19800000.0
43,F6,1175000000.0
43,F7,291300000.0
44,F1,448100000.0
44,F2,0.0
44,F3,0.0
44,F4,14582100000.0
44,F5,330200000.0
44,F6,7484100000.0
44,F7,8307500000.0
45,F1,20202800000.0
45,F2,0.0
45,F3,0.0
45,F4,15778200000.0
45,F5,211500000.0
45,F6,34588800000.0
45,F7,7346900000.0
46,F1,717100000.0
46,F2,0.0
46,F3,0.0
46,F4,320800000.0
46,F5,1204800000.0
46,F6,7857900000.0
46,F7,2705100000.0
47,F1,61000000.0
47,F2,0.0
47,F3,0.0
47,F4,891600000.0
47,F5,83400000.0
47,F6,52500000.0
47,F7,557800000.0
48,F1,0.0
48,F2,0.0
48,F3,0.0
48,F4,824800000.0
48,F5,-54000000.0
48,F6,482700000.0
48,F7,673700000.0
49,F1,7500000.0
49,F2,0.0
49,F3,0.0
49,F4,2143199999.9999998
49,F5,814800000.0
49,F6,4990400000.0
49,F7,1834900000.0
50,F1,1503300000.0
50,F2,0.0
50,F3,80200000.0
50,F4,139600000.0
50,F5,22500000.0
50,F6,414400000.0
50,F7,102000000.0
51,F1,6612000000.0
51,F2,0.0
51,F3,0.0
51,F4,162400000.0
51,F5,-189200000.0
51,F6,1246199999.9999998
51,F7,700300000.0
52,F1,9015500000.0
52,F2,3900000.0
52,F3,146800000.0
52,F4,866100000.0
52,F5,2270500000.0
52,F6,2231000000.0
52,F7,1005800000.0
53,F1,306900000.0
53,F2,1000000.0
53,F3,0.0
53,F4,8461700000.000001
53,F5,0.0
53,F6,260100000.00000003
53,F7,240200000.0
54,F1,14171700000.0
54,F2,0.0
54,F3,0.0
54,F4,0.0
54,F5,-335900000.0
54,F6,364300000.0
54,F7,274600000.0
55,F1,5847100000.0
55,F2,0.0
55,F3,0.0
55,F4,0.0
55,F5,145300000.0
55,F6,18300000.0
55,F7,16800000.0
56,F1,3465000000.0
56,F2,7700000.0
56,F3,503000000.0
56,F4,0.0
56,F5,200000.0
56,F6,5700000.0
56,F7,5200000.0
57,F1,3225900000.0
57,F2,9700000.0
57,F3,3406000000.0
57,F4,51000000.0
57,F5,21100000.0
57,F6,608400000.0
57,F7,743600000.0
58,F1,0.0
58,F2,9200000.0
58,F3,214000000.0
58,F4,29481100000.0
58,F5,0.0
58,F6,71500000.0
58,F7,136600000.0
59,F1,0.0
59,F2,9200000.0
59,F3,118000000.0
59,F4,9816300000.0
59,F5,0.0
59,F6,11899999.999999998
59,F7,22700000.0
60,F1,0.0
60,F2,0.0
60,F3,1550000000.0
60,F4,13517300000.0
60,F5,0.0
60,F6,155200000.0
60,F7,296600000.0
61,F1,6083300000.0
61,F2,1900000.0
61,F3,0.0
61,F4,27931000000.0
61,F5,0.0
61,F6,254400000.0
61,F7,486100000.0
62,F1,606700000.0
62,F2,0.0
62,F3,0.0
62,F4,0.0
62,F5,0.0
62,F6,12200000.0
62,F7,4000000.0
63,F1,14290400000.0
63,F2,0.0
63,F3,0.0
63,F4,0.0
63,F5,0.0
63,F6,0.0
63,F7,0.0
64,F1,0.0
64,F2,0.0
64,F3,0.0
64,F4,0.0
64,F5,0.0
64,F6,948700000.0
64,F7,304100000.0
65,F1,0.0
65,F2,0.0
65,F3,0.0
65,F4,0.0
65,F5,0.0
65,F6,0.0
65,F7,0.0
66,F1,1814700000.0
66,F2,0.0
66,F3,385000000.0
66,F4,0.0
66,F5,0.0
66,F6,77200000.0
66,F7,4000000.0
67,F1,7485400000.0
67,F2,200000.0
67,F3,954000000.0
67,F4,0.0
67,F5,0.0
67,F6,5639300000.0
67,F7,686600000.0
68,F1,356000000.0
68,F2,0.0
68,F3,80000000.0
68,F4,0.0
68,F5,0.0
68,F6,71900000.0
68,F7,570300000.0
69,F1,3162800000.0
69,F2,0.0
69,F3,332000000.0
69,F4,0.0
69,F5,0.0
69,F6,1232500000.0
