R_PRODUCTO,C_AGREGADO,VALOR
1,TOTAL,9656500000.0
2,TOTAL,543200000.0
3,TOTAL,0.0
4,TOTAL,112800000.0
5,TOTAL,1484199999.9999998
6,TOTAL,808699999.9999999
7,TOTAL,16978600000.000002
8,TOTAL,5065200000.0
9,TOTAL,3269100000.0
10,TOTAL,560500000.0
11,TOTAL,1963500000.0
12,TOTAL,1729500000.0
13,TOTAL,3123200000.0
14,TOTAL,478700000.0
15,TOTAL,12385200000.0
16,TOTAL,1529700000.0
17,TOTAL,367199999.99999994
18,TOTAL,1722800000.0
19,TOTAL,4258399999.9999995
20,TOTAL,16408500000.0
21,TOTAL,5127100000.0
22,TOTAL,1432600000.0
23,TOTAL,3091899999.9999995
24,TOTAL,1252300000.0
25,TOTAL,493900000.0
26,TOTAL,7989100000.0
27,TOTAL,14270599999.999998
28,TOTAL,8064799999.999999
29,TOTAL,538700000.0
30,TOTAL,17113500000.0
31,TOTAL,3159700000.0
32,TOTAL,5734500000.0
33,TOTAL,1647400000.0
34,TOTAL,605500000.0
35,TOTAL,152100000.0
36,TOTAL,591500000.0
37,TOTAL,10486300000.0
38,TOTAL,6559500000.0
39,TOTAL,1148200000.0
40,TOTAL,4103399999.9999995
41,TOTAL,14171800000.0
42,TOTAL,9562100000.0
43,TOTAL,2507400000.0
44,TOTAL,18420300000.000004
45,TOTAL,23098000000.0
46,TOTAL,18196600000.000004
47,TOTAL,314400000.0
48,TOTAL,253500000.0
49,TOTAL,4216899999.9999995
50,TOTAL,1256200000.0
51,TOTAL,2622200000.0000005
52,TOTAL,7611500000.0
53,TOTAL,172300000.0
54,TOTAL,1827100000.0000002
55,TOTAL,424099999.99999994
56,TOTAL,93500000.0
57,TOTAL,2165200000.0
58,TOTAL,20900000.0
59,TOTAL,18700000.0
60,TOTAL,8100000.0
61,TOTAL,269299999.99999994
62,TOTAL,0.0
63,TOTAL,0.0
64,TOTAL,286300000.0
65,TOTAL,0.0
66,TOTAL,12000000.0
67,TOTAL,1776800000.0
68,TOTAL,20900000.000000004
69,TOTAL,484400000.00000006
70,TOTAL,0.0
71,TOTAL,2116000000.0
72,TOTAL,116000000.0
73,TOTAL,2207000000.0
74,TOTAL,473000000.0
75,TOTAL,1889200000.0
76,TOTAL,2183500000.0
77,TOTAL,23400000.0
78,TOTAL,2106600000.0
79,TOTAL,6216400000.0
80,TOTAL,3109000000.0
81,TOTAL,1053000000.0
82,TOTAL,901000000.0
83,TOTAL,1351600000.0
84,TOTAL,0.0
85,TOTAL,4383700000.0
86,TOTAL,1453900000.0
87,TOTAL,494100000.0
88,TOTAL,1038800000.0
89,TOTAL,967400000.0
90,TOTAL,0.0
91,TOTAL,40800000.0
92,TOTAL,761200000.0
93,TOTAL,85700000.0
94,TOTAL,1225600000.0
95,TOTAL,95100000.00000001
96,TOTAL,216500000.0
97,TOTAL,880900000.0
98,TOTAL,0.0
99,TOTAL,116500000.0
100,TOTAL,24000000.0
101,TOTAL,0.0
102,TOTAL,65900000.00000001
103,TOTAL,153500000.0
104,TOTAL,0.0
105,TOTAL,43200000.0
106,TOTAL,92900000.0
107,TOTAL,3900000.0000000005
108,TOTAL,578100000.0
