R_PRODUCTO,C_AGREGADO,VALOR
1,TOTAL,217799999.99999997
2,TOTAL,-9200000.0
3,TOTAL,-9900000.0
4,TOTAL,33700000.0
5,TOTAL,420400000.0
6,TOTAL,240600000.00000003
7,TOTAL,-300000.0
8,TOTAL,-100000.0
9,TOTAL,300000.0
10,TOTAL,30600000.0
11,TOTAL,1413000000.0
12,TOTAL,517700000.00000006
13,TOTAL,233100000.00000003
14,TOTAL,144200000.00000003
15,TOTAL,2726100000.0
16,TOTAL,2391299999.9999995
17,TOTAL,406400000.0
18,TOTAL,9318600000.0
19,TOTAL,587000000.0
20,TOTAL,3622600000.0
21,TOTAL,1408700000.0
22,TOTAL,111100000.00000001
23,TOTAL,47900000.0
24,TOTAL,671400000.0
25,TOTAL,64099999.99999999
26,TOTAL,17446500000.0
27,TOTAL,345200000.0
28,TOTAL,1796800000.0
29,TOTAL,9700000.0
30,TOTAL,909799999.9999999
31,TOTAL,405799999.99999994
32,TOTAL,253400000.00000003
33,TOTAL,97600000.0
34,TOTAL,82800000.0
35,TOTAL,24700000.0
36,TOTAL,14200000.0
37,TOTAL,70200000.00000001
38,TOTAL,395200000.0
39,TOTAL,15900000.0
40,TOTAL,459700000.0
41,TOTAL,1107100000.0
42,TOTAL,454400000.0
43,TOTAL,762699999.9999999
44,TOTAL,349400000.00000006
45,TOTAL,3881800000.0
46,TOTAL,185300000.0
47,TOTAL,15600000.0
48,TOTAL,7100000.000000001
49,TOTAL,8299999.999999999
50,TOTAL,314799999.99999994
51,TOTAL,1046300000.0000002
52,TOTAL,1918700000.0
53,TOTAL,444800000.0
54,TOTAL,2333900000.0
55,TOTAL,1244600000.0000002
56,TOTAL,359500000.0
57,TOTAL,13000000.000000019
58,TOTAL,2467900000.0
59,TOTAL,547100000.0
60,TOTAL,506700000.00000006
61,TOTAL,2497300000.0
62,TOTAL,84700000.0
63,TOTAL,2132199999.9999998
64,TOTAL,23500000.0
65,TOTAL,0.0
66,TOTAL,-472200000.0
67,TOTAL,-1273000000.0
68,TOTAL,4300000.000000005
69,TOTAL,46200000.0
70,TOTAL,117000000.0
71,TOTAL,559400000.0
72,TOTAL,-119900000.0
73,TOTAL,898500000.0
74,TOTAL,5715000000.0
75,TOTAL,349700000.0
76,TOTAL,144000000.0
77,TOTAL,149700000.0
78,TOTAL,3118700000.0000005
79,TOTAL,590400000.0
80,TOTAL,653000000.0
81,TOTAL,1475000000.0
82,TOTAL,441000000.0
83,TOTAL,1458800000.0
84,TOTAL,0.0
85,TOTAL,8957100000.0
86,TOTAL,598100000.0
87,TOTAL,50800000.0
88,TOTAL,532600000.0
89,TOTAL,311700000.0
90,TOTAL,131900000.0
91,TOTAL,358400000.0
92,TOTAL,217600000.0
93,TOTAL,37700000.0
94,TOTAL,468700000.00000006
95,TOTAL,403800000.0
96,TOTAL,831600000.0
97,TOTAL,564000000.0
98,TOTAL,0.0
99,TOTAL,177700000.0
100,TOTAL,445300000.0
101,TOTAL,452900000.0
102,TOTAL,249100000.0
103,TOTAL,-6500000.0
104,TOTAL,1318000000.0
105,TOTAL,1736100000.0
106,TOTAL,75400000.0
107,TOTAL,373900000.0
108,TOTAL,1389200000.0
