C_RAMA,VALOR
1,25361000000.000004
2,857000000.0
3,1396000000.0000002
4,2611000000.0
5,22100000000.0
6,7640000000.000002
7,52762000000.000015
8,13884000000.000002
9,460999999.99999994
10,4304999999.999999
11,3314000000.0
12,3311999999.9999995
13,5441000000.0
14,9927999999.999998
15,3701000000.0000005
16,37903999999.99999
17,31851000000.000004
18,8629000000.0
19,14608000000.0
20,13601000000.000002
21,26273999999.999996
22,25891000000.0
23,2967000000.0
24,13253000000.0
25,14426999999.999998
26,55052999999.99999
27,12100999999.999998
28,3810000000.0000005
29,2583000000.0000005
30,7299000000.000001
31,38005000000.00001
32,5276000000.0
33,12705000000.000002
34,43243000000.0
35,10790000000.0
36,32245999999.999996
37,14957000000.000002
38,57048999999.99999
39,28670999999.999996
40,2648000000.0
41,4472000000.0
42,23067000000.0
43,1553000000.0000002
44,8750000000.0
45,27660999999.999992
46,2980000000.0
47,12547000000.0
48,42601000000.0
49,3142000000.0
50,7661000000.000001
51,16936000000.0
52,19687999999.999996
53,15861999999.999998
54,10783000000.0
55,6277000000.0
56,11878000000.0
57,7450000000.0
58,9050000000.0
59,10053000000.0
60,13992999999.999998
61,2250000000.0000005
62,6749999999.999999
63,2731000000.0
64,414000000.0
65,6484999999.999999
66,742000000.0000001
67,14253999999.999998
68,1395999999.9999998
69,4185000000.0
70,7935000000.000001
71,22278000000.0
72,9552000000.0
73,26779999999.999996
74,7317000000.0
75,8895999999.999998
76,7270000000.0
77,5082000000.000001
78,1004000000.0000001
79,3054000000.0
