C_RAMA,VALOR
1,56142999999.99999
2,1859000000.0
3,2793000000.0
4,5292000000.0
5,28950000000.0
6,9288999999.999998
7,63908000000.0
8,18312000000.0
9,799000000.0
10,6706000000.000001
11,5877000000.0
12,7402000000.0
13,7444000000.0
14,13792000000.0
15,5949000000.0
16,41119000000.0
17,40830000000.00001
18,15104999999.999998
19,21007000000.0
20,19446000000.0
21,32900000000.0
22,38115000000.0
23,4758000000.0
24,17958000000.0
25,21694000000.0
26,67457000000.0
27,16846000000.0
28,5059000000.0
29,5761000000.0
30,13392000000.0
31,65165999999.99999
32,9988000000.0
33,20102000000.0
34,71438000000.0
35,15714000000.0
36,63594000000.0
37,33023000000.0
38,121705000000.0
39,85859999999.99998
40,3280000000.0000005
41,12545999999.999998
42,37228000000.00001
43,2294000000.0
44,12286000000.0
45,47656000000.0
46,5368000000.0
47,34226999999.999992
48,90181000000.00002
49,5777000000.0
50,12899000000.0
51,30850000000.000004
52,37922000000.00001
53,46226000000.0
54,19963000000.0
55,10942000000.0
56,53087000000.00001
57,92498000000.0
58,22944000000.0
59,19465000000.0
60,25814000000.0
61,7561000000.0
62,12878000000.0
63,7524000000.0
64,945000000.0
65,14792999999.999998
66,6924000000.0
67,17385999999.999996
68,5944000000.0
69,16340000000.0
70,17783999999.999996
71,88177000000.0
72,67372000000.0
73,83448000000.00002
74,23849000000.0
75,20285000000.0
76,19530999999.999996
77,15106999999.999998
78,2241000000.0
79,12281000000.0
