R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;TOTAL;9656500000;10780336536
2;TOTAL;543200000;614985589.75
3;TOTAL;0;0
4;TOTAL;112800000;129180897.09
5;TOTAL;1484200000;1637336698.4
6;TOTAL;808700000;880004096.92
7;TOTAL;16978600000;20536755127
8;TOTAL;5065200000;5462061708.4
9;TOTAL;3269100000;3656998839.2
10;TOTAL;560500000;602772936.15
11;TOTAL;1963500000;2123789878.6
12;TOTAL;1729500000;1923997215.5
13;TOTAL;3123200000;3440403327
14;TOTAL;478700000;515985708.22
15;TOTAL;12385200000;13550666723
16;TOTAL;1529700000;1687211622
17;TOTAL;367200000;405484162.14
18;TOTAL;1722800000;1886403522.4
19;TOTAL;4258400000;4572145277.3
20;TOTAL;16408500000;18063037582
21;TOTAL;5127100000;5607992703.4
22;TOTAL;1432600000;1558578285.9
23;TOTAL;3091900000;3355233611.2
24;TOTAL;1252300000;1368548032.5
25;TOTAL;493900000;552748157.91
26;TOTAL;7989100000;8411729152.4
27;TOTAL;14270600000;15541519412
28;TOTAL;8064800000;8787750013.8
29;TOTAL;538700000;581380136.36
30;TOTAL;17113500000;18704437348
31;TOTAL;3159700000;3449433351.7
32;TOTAL;5734500000;6269922762.9
33;TOTAL;1647400000;1804124338.1
34;TOTAL;605500000;671364905.02
35;TOTAL;152100000;170479918.3
36;TOTAL;591500000;656083881.9
37;TOTAL;10486300000;11267853574
38;TOTAL;6559500000;7138617581.4
39;TOTAL;1148200000;1254729128.5
40;TOTAL;4103400000;4498183552.3
41;TOTAL;14171800000;15436368003
42;TOTAL;9562100000;10520327851
43;TOTAL;2507400000;2738465816.2
44;TOTAL;18420300000;20103449929
45;TOTAL;23098000000;25505896686
46;TOTAL;18196600000;19734339615
47;TOTAL;314400000;349557091.86
48;TOTAL;253500000;281129039.8
49;TOTAL;4216900000;4650203694.1
50;TOTAL;1256200000;1369911739
51;TOTAL;2622200000;2871527307.5
52;TOTAL;7611500000;8281246924.6
53;TOTAL;172300000;191446364.5
54;TOTAL;1827100000;2032858669
55;TOTAL;424100000;476562868.6
56;TOTAL;93500000;104419058.25
57;TOTAL;2165200000;2403925929.2
58;TOTAL;20900000;21627787.777
59;TOTAL;18700000;19779090.137
60;TOTAL;8100000;9551802.044
61;TOTAL;269300000;306329852.45
62;TOTAL;0;0
63;TOTAL;0;0
64;TOTAL;286300000;295637804.03
65;TOTAL;0;0
66;TOTAL;12000000;13271495.526
67;TOTAL;1776800000;1971637908.5
68;TOTAL;20900000;22836918.069
69;TOTAL;484400000;517408743.95
70;TOTAL;0;0
71;TOTAL;2116000000;2344842714.7
72;TOTAL;116000000;128503539.66
73;TOTAL;2207000000;2371242316.5
74;TOTAL;473000000;509069840.1
75;TOTAL;1889200000;2089716898.7
76;TOTAL;2183500000;2386247315.9
77;TOTAL;23400000;25676481.952
78;TOTAL;2106600000;2311037496.4
79;TOTAL;6216400000;6742315667.3
80;TOTAL;3109000000;3365750748.9
81;TOTAL;1053000000;1258922503.7
82;TOTAL;901000000;911566454.88
83;TOTAL;1351600000;1429035893.4
84;TOTAL;0;0
85;TOTAL;4383700000;4889879095
86;TOTAL;1453900000;1637327244.7
87;TOTAL;494100000;548984122.26
88;TOTAL;1038800000;1113648760.1
89;TOTAL;967400000;1020463585.8
90;TOTAL;0;0
91;TOTAL;40800000;44943126.265
92;TOTAL;761200000;846057789.52
93;TOTAL;85700000;85752007.69
94;TOTAL;1225600000;1323390392.8
95;TOTAL;95100000;104878089.41
96;TOTAL;216500000;235997556.36
97;TOTAL;880900000;946191824.42
98;TOTAL;0;0
99;TOTAL;116500000;127149448.17
100;TOTAL;24000000;25856571.394
101;TOTAL;0;0
102;TOTAL;65900000;69167548.543
103;TOTAL;153500000;161575293.26
104;TOTAL;0;0
105;TOTAL;43200000;45780079.174
106;TOTAL;92900000;103043518.68
107;TOTAL;3900000;4231080.2685
108;TOTAL;578100000;614769710.17
