R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;TOTAL;217800000;234997104.7
2;TOTAL;-9200000;-8407959.029
3;TOTAL;-9900000;-9338082.591
4;TOTAL;33700000;37300199.929
5;TOTAL;420400000;448229399.21
6;TOTAL;240600000;253037528.01
7;TOTAL;-300000;-256625.1667
8;TOTAL;-100000;-95950.65276
9;TOTAL;300000;324347.03623
10;TOTAL;30600000;31804722.931
11;TOTAL;1413000000;1477116893.9
12;TOTAL;517700000;556613967.35
13;TOTAL;233100000;248166924.61
14;TOTAL;144200000;150221317.94
15;TOTAL;2726100000;2882647143.7
16;TOTAL;2391300000;2549114936.5
17;TOTAL;406400000;433727525.72
18;TOTAL;9318600000;9861488394.3
19;TOTAL;587000000;609121223.42
20;TOTAL;3622600000;3854200906.2
21;TOTAL;1408700000;1489176686.8
22;TOTAL;111100000;116818007.85
23;TOTAL;47900000;50237139.197
24;TOTAL;671400000;709128701.03
25;TOTAL;64100000;69332740.937
26;TOTAL;17446500000;17753655985
27;TOTAL;345200000;363340735.8
28;TOTAL;1796800000;1892238582.5
29;TOTAL;9700000;10117588.465
30;TOTAL;909800000;961045178.47
31;TOTAL;405800000;428159922.28
32;TOTAL;253400000;267772088.97
33;TOTAL;97600000;103302131.71
34;TOTAL;82800000;88729265.558
35;TOTAL;24700000;26756729.618
36;TOTAL;14200000;15222466.473
37;TOTAL;70200000;72903451.688
38;TOTAL;395200000;415673539.02
39;TOTAL;15900000;16792742.335
40;TOTAL;459700000;487034678.03
41;TOTAL;1107100000;1165464426.1
42;TOTAL;454400000;483177139
43;TOTAL;762700000;805062339.89
44;TOTAL;349400000;368543585.3
45;TOTAL;3881800000;4142775862
46;TOTAL;185300000;194222630.13
47;TOTAL;15600000;16763019.138
48;TOTAL;7100000;7609886.1002
49;TOTAL;8300000;8846038.5823
50;TOTAL;314800000;331787930.91
51;TOTAL;1046300000;1107376811.7
52;TOTAL;1918700000;2017551458.7
53;TOTAL;444800000;477659794.06
54;TOTAL;2333900000;2509684767.7
55;TOTAL;1244600000;1351679688.4
56;TOTAL;359500000;388024473.33
57;TOTAL;13000000;13949494.758
58;TOTAL;2467900000;2468228902.6
59;TOTAL;547100000;559272519.3
60;TOTAL;506700000;577488394.74
61;TOTAL;2497300000;2745463964.3
62;TOTAL;84700000;86087249.977
63;TOTAL;2132200000;2246596547.1
64;TOTAL;23500000;23453007.597
65;TOTAL;0;0
66;TOTAL;-472200000;-441769065.5
67;TOTAL;-1273000000;-1186991823
68;TOTAL;4300000;4541002.3383
69;TOTAL;46200000;47693991.191
70;TOTAL;117000000;125154028.88
71;TOTAL;559400000;599118289.61
72;TOTAL;-119900000;-111987621.2
73;TOTAL;898500000;933004518.89
74;TOTAL;5715000000;5944625830.4
75;TOTAL;349700000;373849851.41
76;TOTAL;144000000;152095656.23
77;TOTAL;149700000;158757234.15
78;TOTAL;3118700000;3306667863.4
79;TOTAL;590400000;618882982.67
80;TOTAL;653000000;683229284.22
81;TOTAL;1475000000;1704334001.2
82;TOTAL;441000000;431215333.82
83;TOTAL;1458800000;1490674323.8
84;TOTAL;0;0
85;TOTAL;8957100000;9656434095.1
86;TOTAL;598100000;650978756.76
87;TOTAL;50800000;54550747.321
88;TOTAL;532600000;551835354.84
89;TOTAL;311700000;317775414.21
90;TOTAL;131900000;145508042.17
91;TOTAL;358400000;381560297.76
92;TOTAL;217600000;233750313.48
93;TOTAL;37700000;36458339.722
94;TOTAL;468700000;489132185.69
95;TOTAL;403800000;430390450.88
96;TOTAL;831600000;876104978.66
97;TOTAL;564000000;585495750.68
98;TOTAL;0;0
99;TOTAL;177700000;187442489.81
100;TOTAL;445300000;463665147.34
101;TOTAL;452900000;469577612.18
102;TOTAL;249100000;252686918.22
103;TOTAL;-6500000;-6389321.201
104;TOTAL;1318000000;1353941367
105;TOTAL;1736100000;1778113961.4
106;TOTAL;75400000;80829217.502
107;TOTAL;373900000;392043434.22
108;TOTAL;1389200000;1427796552.9
