R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;F1;14240300000;15294064867
1;F2;2900000;2790238.2245
1;F3;0;0
1;F4;1835100000;2133305196.6
1;F5;365300000;468109475.38
1;F6;13252400000;14707065396
1;F7;1568900000;1720190205.2
2;F1;929900000;992296576.86
2;F2;0;0
2;F3;1000000;1060787.4986
2;F4;793000000;915941843.65
2;F5;174300000;221920081.54
2;F6;441900000;487255719.45
2;F7;447300000;487283338.46
3;F1;0;0
3;F2;0;0
3;F3;10000000;10662387.854
3;F4;0;0
3;F5;0;0
3;F6;34500000;38236499.163
3;F7;4100000;4489444.4673
4;F1;379400000;384468888.49
4;F2;0;0
4;F3;71000000;71522942.247
4;F4;58100000;63727880.524
4;F5;255900000;309405573.2
4;F6;177700000;186071132.95
4;F7;3900000;4034650.3216
5;F1;4973200000;5295584791.1
5;F2;0;0
5;F3;0;0
5;F4;0;0
5;F5;33900000;43069682.492
5;F6;603800000;664352859.3
5;F7;82400000;89574136.704
6;F1;52000000;57356643.786
6;F2;0;0
6;F3;0;0
6;F4;0;0
6;F5;-9000000;-6838614.954
6;F6;39700000;45247917.137
6;F7;8800000;9909242.9772
7;F1;0;0
7;F2;0;0
7;F3;0;0
7;F4;0;0
7;F5;-239800000;-231859962.4
7;F6;315900000;282948093.15
7;F7;100000;88492.581658
8;F1;0;0
8;F2;0;0
8;F3;97000000;106320432.89
8;F4;0;0
8;F5;26700000;35125869.746
8;F6;13900000;15836687.728
8;F7;6400000;7204091.9398
9;F1;0;0
9;F2;0;0
9;F3;0;0
9;F4;0;0
9;F5;125900000;159936404.26
9;F6;484200000;532696827.92
9;F7;461600000;501730896.27
10;F1;3300000;3769306.3733
10;F2;0;0
10;F3;0;0
10;F4;201000000;248503793.76
10;F5;41900000;57102548.67
10;F6;298600000;352423614.38
10;F7;382000000;445439042.59
11;F1;18379200000;19509390550
11;F2;0;0
11;F3;0;0
11;F4;0;0
11;F5;597500000;756743988.07
11;F6;4163000000;4566160875.2
11;F7;2146200000;2325758987.4
12;F1;9069300000;9657326052.9
12;F2;13200000;12592053.336
12;F3;0;0
12;F4;0;0
12;F5;68100000;86521533.665
12;F6;858600000;944716953.59
12;F7;244600000;265899179.62
13;F1;2623100000;2819243250.4
13;F2;0;0
13;F3;0;0
13;F4;0;0
13;F5;177500000;227619796.14
13;F6;2599400000;2886812087.6
13;F7;1783800000;1957227367.6
14;F1;1526500000;1607405621.5
14;F2;0;0
14;F3;0;0
14;F4;0;0
14;F5;90100000;113200263.02
14;F6;486700000;529563103.93
14;F7;196400000;211128846.99
15;F1;33080500000;35595817618
15;F2;2300000;2217145.7355
15;F3;0;0
15;F4;0;0
15;F5;373900000;480038802.48
15;F6;9158700000;10183297695
15;F7;3677800000;4040102974
16;F1;7840000000;8569083274.2
16;F2;0;0
16;F3;0;0
16;F4;0;0
16;F5;263600000;343761849.53
16;F6;2096800000;2368116191.2
16;F7;1563300000;1744367742
17;F1;4675600000;5111318556.8
17;F2;0;0
17;F3;0;0
17;F4;0;0
17;F5;113200000;147650865.25
17;F6;184400000;208297575.05
17;F7;78000000;87049768.343
18;F1;13307600000;14576786750
18;F2;0;0
18;F3;0;0
18;F4;0;0
18;F5;70600000;92270045.292
18;F6;183500000;207694898.43
18;F7;47000000;52557819.398
19;F1;2968300000;3297244908.5
19;F2;0;0
19;F3;1000000;1104247.8484
19;F4;20500000;24648287
19;F5;52600000;69714501.962
19;F6;2099300000;2409603684.5
19;F7;1540200000;1746618080.7
20;F1;22044100000;23722026993
20;F2;0;0
20;F3;0;0
20;F4;0;0
20;F5;270000000;346670716.58
20;F6;7922400000;8809350463
20;F7;4126600000;4533454021.1
21;F1;8585700000;9239620109.3
21;F2;0;0
21;F3;0;0
21;F4;4200000;4892345.9931
21;F5;106800000;137133521.79
21;F6;3214800000;3574868443.8
21;F7;1114600000;1224545320.6
22;F1;550600000;596319965.12
22;F2;6800000;6597684.633
22;F3;0;0
22;F4;45600000;53456122.375
22;F5;4000000;5168887.7987
22;F6;1052100000;1177410385.2
22;F7;472800000;522754799.84
23;F1;10300000;11291129.805
23;F2;0;0
23;F3;0;0
23;F4;0;0
23;F5;45100000;58988953.025
23;F6;1749100000;1981264754.8
23;F7;971900000;1087675073.7
24;F1;4430500000;4804844834.1
24;F2;0;0
24;F3;21800000;23502078.227
24;F4;0;0
24;F5;57200000;74014468.692
24;F6;1045500000;1171597299.9
24;F7;341800000;378421761.6
25;F1;900000;950504.35216
25;F2;5800000;5487557.5869
25;F3;0;0
25;F4;0;0
25;F5;8800000;11088894.285
25;F6;37700000;41141549.95
25;F7;28800000;31051422.921
26;F1;24222300000;28488297990
26;F2;0;0
26;F3;0;0
26;F4;0;0
26;F5;993800000;1394582104.3
26;F6;5500100000;6684199583.9
26;F7;6900900000;8285796775.5
27;F1;402100000;437332923.51
27;F2;0;0
27;F3;0;0
27;F4;0;0
27;F5;43700000;56709198.334
27;F6;9003800000;10118861191
27;F7;5628500000;6249541969.5
28;F1;10683900000;11618635091
28;F2;0;0
28;F3;0;0
28;F4;0;0
28;F5;133600000;173350750.57
28;F6;5341600000;6002392065.1
28;F7;3965500000;4402513232.9
29;F1;0;0
29;F2;0;0
29;F3;0;0
29;F4;0;0
29;F5;4200000;5510839.8601
29;F6;211400000;240218920.74
29;F7;92200000;103510133.62
30;F1;10580500000;11427641068
30;F2;0;0
30;F3;10881200000;11682891407
30;F4;0;0
30;F5;95100000;122553265.37
30;F6;7951500000;8874158094.7
30;F7;4798500000;5290945853.3
31;F1;2287500000;2494443005.3
31;F2;600000;586142.52373
31;F3;0;0
31;F4;0;0
31;F5;43200000;56206973.384
31;F6;2532600000;2853689936.6
31;F7;832600000;926885967.94
32;F1;900300000;975956081.27
32;F2;5200000;5049935.8931
32;F3;0;0
32;F4;113100000;132707386.45
32;F5;104400000;135032246.76
32;F6;3431100000;3843298344.2
32;F7;1286100000;1423295843
33;F1;301800000;326674917.42
33;F2;0;0
33;F3;0;0
33;F4;6100000;7146869.5721
33;F5;41300000;53338472.829
33;F6;1069800000;1196538967.2
33;F7;319500000;353057007.11
34;F1;292900000;310561804.84
34;F2;0;0
34;F3;0;0
34;F4;4000000;4590691.7101
34;F5;-800000;-632364.3029
34;F6;1418100000;1553685905.2
34;F7;1874700000;2029260809.1
35;F1;5700000;5877879.9217
35;F2;0;0
35;F3;0;0
35;F4;0;0
35;F5;-142900000;-116142830
35;F6;525300000;559733053.08
35;F7;586900000;617856161.28
36;F1;5100000;5394713.0209
36;F2;0;0
36;F3;0;0
36;F4;0;0
36;F5;-11100000;-8794898.615
36;F6;673200000;735817269.69
36;F7;451900000;487997874.35
37;F1;5700000;6254806.3659
37;F2;0;0
37;F3;0;0
37;F4;14900000;17697615.247
37;F5;-81000000;-61865999.58
37;F6;9445000000;10709487165
37;F7;4278500000;4793005953.7
38;F1;879600000;960902955.92
38;F2;41600000;40712440.44
38;F3;0;0
38;F4;6199400000;7330497239.4
38;F5;311500000;406018974.93
38;F6;5602900000;6324626429.3
38;F7;3216100000;3586751354.8
39;F1;1600000;1735329.7139
39;F2;0;0
39;F3;0;0
39;F4;355800000;417693225.16
39;F5;-46800000;-36165115.94
39;F6;349000000;391124612.7
39;F7;212300000;235065792.06
40;F1;1524900000;1638384659.8
40;F2;0;0
40;F3;0;0
40;F4;4237500000;4928033900.2
40;F5;91500000;117297720.78
40;F6;606400000;673226805.64
40;F7;254800000;279480396.39
41;F1;5849200000;6372689678.7
41;F2;0;0
41;F3;2000000;2166104.6897
41;F4;4457400000;5256508549.5
41;F5;-17600000;-13539181.11
41;F6;2836200000;3192940685
41;F7;1819300000;2023522497.8
42;F1;1770300000;1895406407.9
42;F2;0;0
42;F3;0;0
42;F4;3226800000;3739529730.4
42;F5;-274700000;-215035029.8
42;F6;5698700000;6304620771.9
42;F7;3883700000;4245008542.5
43;F1;4450400000;4846948221.1
43;F2;0;0
43;F3;0;0
43;F4;241400000;284574555.39
43;F5;19800000;25729331.017
43;F6;1175000000;1322314921
43;F7;291300000;323882316.09
44;F1;448100000;484521687.84
44;F2;0;0
44;F3;0;0
44;F4;14582100000;17066631705
44;F5;330200000;425999723.46
44;F6;7484100000;8361911327.9
44;F7;8307500000;9170352835.4
45;F1;20202800000;21511031895
45;F2;0;0
45;F3;0;0
45;F4;15778200000;18184300658
45;F5;211500000;268691558.36
45;F6;34588800000;38055100522
45;F7;7346900000;7986035320.1
46;F1;717100000;784331423.47
46;F2;0;0
46;F3;0;0
46;F4;320800000;379790169.23
46;F5;1204800000;1572276133.4
46;F6;7857900000;8880840878
46;F7;2705100000;3020512484.6
47;F1;61000000;64970815.396
47;F2;0;0
47;F3;0;0
47;F4;891600000;1027893237.8
47;F5;83400000;105986000.44
47;F6;52500000;57779726.83
47;F7;557800000;606519000.34
48;F1;0;0
48;F2;0;0
48;F3;0;0
48;F4;824800000;954753317.31
48;F5;-54000000;-42320104.58
48;F6;482700000;533406193.71
48;F7;673700000;735524295.12
49;F1;7500000;8041770.3237
49;F2;0;0
49;F3;0;0
49;F4;2143200000;2487382470.8
49;F5;814800000;1042402376.9
49;F6;4990400000;5529087437
49;F7;1834900000;2008538778
50;F1;1503300000;1641642925.9
50;F2;0;0
50;F3;80200000;87062384.553
50;F4;139600000;165009112.06
50;F5;22500000;29316325.226
50;F6;414400000;467606443.97
50;F7;102000000;113713134.8
51;F1;6612000000;6986202835.7
51;F2;0;0
51;F3;0;0
51;F4;162400000;185730760.74
51;F5;-189200000;-150078615.8
51;F6;1246200000;1360579087
51;F7;700300000;755387667.84
52;F1;9015500000;9836052456.8
52;F2;3900000;3811844.0321
52;F3;146800000;159213621.71
52;F4;866100000;1022794829.8
52;F5;2270500000;2955605700.3
52;F6;2231000000;2515117548.4
52;F7;1005800000;1120263195.4
53;F1;306900000;330293051.12
53;F2;1000000;964144.31624
53;F3;0;0
53;F4;8461700000;9857110819.7
53;F5;0;0
53;F6;260100000;289248156.19
53;F7;240200000;263908251.8
54;F1;14171700000;15202327429
54;F2;0;0
54;F3;0;0
54;F4;0;0
54;F5;-335900000;-262438714.1
54;F6;364300000;403808077.3
54;F7;274600000;300722610.81
55;F1;5847100000;6149795666.5
55;F2;0;0
55;F3;0;0
55;F4;0;0
55;F5;145300000;182339076.02
55;F6;18300000;19888359.106
55;F7;16800000;18038767.654
56;F1;3465000000;3584973687.2
56;F2;7700000;7136954.9525
56;F3;503000000;517337387.96
56;F4;0;0
56;F5;200000;246891.81927
56;F6;5700000;6093759.186
56;F7;5200000;5492416.9076
57;F1;3225900000;3410908801.7
57;F2;9700000;9188199.9674
57;F3;3406000000;3580032739.6
57;F4;51000000;58368542.683
57;F5;21100000;26619238.858
57;F6;608400000;664715967.27
57;F7;743600000;802668105.93
58;F1;0;0
58;F2;9200000;9089667.312
58;F3;214000000;234615977.54
58;F4;29481100000;35192799444
58;F5;0;0
58;F6;71500000;81480634.858
58;F7;136600000;153797324.85
59;F1;0;0
59;F2;9200000;8963679.7452
59;F3;118000000;127574584.39
59;F4;9816300000;11555701020
59;F5;0;0
59;F6;11900000;13373148.505
59;F7;22700000;25203582.848
60;F1;0;0
60;F2;0;0
60;F3;1550000000;1531850338
60;F4;13517300000;14545910482
60;F5;0;0
60;F6;155200000;159433986.95
60;F7;296600000;301030192.34
61;F1;6083300000;6736589217
61;F2;1900000;1884924.3695
61;F3;0;0
61;F4;27931000000;33479331926
61;F5;0;0
61;F6;254400000;291102300.12
61;F7;486100000;549545771.86
62;F1;606700000;722405536.77
62;F2;0;0
62;F3;0;0
62;F4;0;0
62;F5;0;0
62;F6;12200000;15010480.693
62;F7;4000000;4862330.5607
63;F1;14290400000;15948574259
63;F2;0;0
63;F3;0;0
63;F4;0;0
63;F5;0;0
63;F6;0;0
63;F7;0;0
64;F1;0;0
64;F2;0;0
64;F3;0;0
64;F4;0;0
64;F5;0;0
64;F6;948700000;1169861847.6
64;F7;304100000;370486013.25
65;F1;0;0
65;F2;0;0
65;F3;0;0
65;F4;0;0
65;F5;0;0
65;F6;0;0
65;F7;0;0
66;F1;1814700000;1904594824.7
66;F2;0;0
66;F3;385000000;401681321.96
66;F4;0;0
66;F5;0;0
66;F6;77200000;83722610.166
66;F7;4000000;4285832.2678
67;F1;7485400000;7988926656.5
67;F2;200000;191224.22691
67;F3;954000000;1012150149.1
67;F4;0;0
67;F5;0;0
67;F6;5639300000;6219082508.8
67;F7;686600000;748091359.45
68;F1;356000000;399114075.86
68;F2;0;0
68;F3;80000000;89157971.949
68;F4;0;0
68;F5;0;0
68;F6;71900000;83292066.203
68;F7;570300000;652721377.35
69;F1;3162800000;3664680319.9
69;F2;0;0
69;F3;332000000;382406791.76
69;F4;0;0
69;F5;0;0
69;F6;1232500000;1475635152.2
69;F7;1964200000;2323418755.4
70;F1;300000;317641.61098
70;F2;1500000;1422809.9421
70;F3;0;0
70;F4;0;0
70;F5;0;0
70;F6;0;0
70;F7;0;0
71;F1;2772800000;2933877543.8
71;F2;8200000;7772787.361
71;F3;5638000000;5930231626.7
71;F4;0;0
71;F5;0;0
71;F6;3227000000;3528174864.4
71;F7;1694000000;1829844824.1
72;F1;98800000;105507547.74
72;F2;0;0
72;F3;0;0
72;F4;0;0
72;F5;0;0
72;F6;95000000;104828142.01
72;F7;49000000;53419532.478
73;F1;10209300000;11767108412
73;F2;16500000;17037161.103
73;F3;11000000;12603455.189
73;F4;0;0
73;F5;0;0
73;F6;4791000000;5705946015.1
73;F7;1576000000;1854417087.4
74;F1;86156000000;94146948418
74;F2;14500000;14194765.405
74;F3;245000000;266139877.14
74;F4;0;0
74;F5;0;0
74;F6;343000000;387295578.4
74;F7;114000000;127175364.15
75;F1;4067000000;4383242433.7
75;F2;9700000;9365534.1242
75;F3;110000000;117852052.9
75;F4;2075000000;2420632652.8
75;F5;25300000;32533876.319
75;F6;819700000;912859528.41
75;F7;580800000;639036030.35
76;F1;1106600000;1197176370.4
76;F2;2900000;2810638.3336
76;F3;0;0
76;F4;1467500000;1718442667
76;F5;53900000;69574518.001
76;F6;819200000;915767259.54
76;F7;716200000;791004957.45
77;F1;346500000;372065601.69
77;F2;1000000;961957.26375
77;F3;2018000000;2154073861.3
77;F4;1708400000;1985616216.6
77;F5;0;0
77;F6;155600000;172644828.06
77;F7;176500000;193481038.35
78;F1;14923700000;15647148364
78;F2;0;0
78;F3;682000000;710830759.31
78;F4;0;0
78;F5;0;0
78;F6;810900000;878524119.46
78;F7;944600000;1011076578
79;F1;3300000;3671541.7831
79;F2;2900000;2890493.7184
79;F3;367000000;405904388.53
79;F4;18303000000;22041760629
79;F5;-5300000;-3992522.422
79;F6;4550300000;5231211320.5
79;F7;5526100000;6276690191.2
80;F1;11486000000;12691613146
80;F2;0;0
80;F3;65000000;71397748.723
80;F4;0;0
