R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;T1;13021500000;13793391175
1;T2;855000000;857276292.41
2;T1;2785500000;2969694290.6
2;T2;57200000;57723050.126
3;T1;0;0
3;T2;0;0
4;T1;187000000;209938242.72
4;T2;26600000;28266774.165
5;T1;1343700000;1435615513
5;T2;65900000;66644743.603
6;T1;78100000;80553510.842
6;T2;35600000;34755864.786
7;T1;0;0
7;T2;15300000;19007301.861
8;T1;0;0
8;T2;5000000;4883223.9055
9;T1;287600000;307308859.89
9;T2;24500000;24779751.425
10;T1;366900000;365438281.14
10;T2;277300000;261433272.21
11;T1;5946900000;6373637557.8
11;T2;115300000;116968978.28
12;T1;1755400000;1875455631.4
12;T2;164100000;165952554.84
13;T1;1985700000;2101888918.7
13;T2;134400000;134660447.98
14;T1;3537400000;3821812037.2
14;T2;122300000;125070898.83
15;T1;17110000000;18089931754
15;T2;628400000;628879961.53
16;T1;3094500000;3220965054.9
16;T2;124900000;123055952.35
17;T1;1316300000;1369850300.2
17;T2;169000000;166475218.66
18;T1;1983900000;2060494891.3
18;T2;5000000;4915485.6258
19;T1;3437600000;3520673514.2
19;T2;21500000;20842678.703
20;T1;9011900000;9527320328.6
20;T2;73600000;73650700.051
21;T1;1029500000;1088332934.2
21;T2;11100000;11107160.841
22;T1;1377500000;1446979209.9
22;T2;195600000;194484142.16
23;T1;597200000;619774138.38
23;T2;121600000;119451576.97
24;T1;2677600000;2808878149
24;T2;67200000;66726928.564
25;T1;62500000;67325911.785
25;T2;200000;203928.01103
26;T1;7469400000;7225175810
26;T2;146100000;133769646.46
27;T1;9824100000;10276104237
27;T2;189700000;187822544.05
28;T1;7896000000;8260297116.2
28;T2;111300000;110211865.86
29;T1;272500000;281906963.32
29;T2;2600000;2545993.5918
30;T1;14636500000;15417028106
30;T2;66600000;66402176.952
31;T1;2041500000;2129858386.5
31;T2;113800000;112379803.29
32;T1;5056900000;5307074299.6
32;T2;98300000;97649265.633
33;T1;1856700000;1951457105.2
33;T2;28600000;28452993.633
34;T1;1671100000;1793030163.5
34;T2;144300000;146553484.54
35;T1;1508400000;1664119449.2
35;T2;183300000;191414617.13
36;T1;889100000;956238590.33
36;T2;66700000;67902560.533
37;T1;7074000000;7333982482.9
37;T2;347200000;340721226.79
38;T1;12929600000;13464945733
38;T2;153000000;150818844.9
39;T1;660400000;692721824.83
39;T2;85600000;84990470.256
40;T1;2315200000;2451477049.9
40;T2;23600000;23653531.059
41;T1;6847400000;7150118272.8
41;T2;367300000;363038861.82
42;T1;7929900000;8426089390.9
42;T2;172800000;173798791.01
43;T1;1900600000;1985341488.3
43;T2;99300000;98183475.966
44;T1;7434500000;7822171164.8
44;T2;58400000;58161159.726
45;T1;8292800000;8860645030.1
45;T2;77500000;78380947.826
46;T1;1238100000;1287803668.3
46;T2;236000000;232354238.26
47;T1;85000000;90791307.423
47;T2;900000;909939.49443
48;T1;467400000;497221017.42
48;T2;1200000;1208333.1139
49;T1;1969400000;2089572087.5
49;T2;10900000;10946986.541
50;T1;809700000;843538528.72
50;T2;5200000;5127772.9806
51;T1;3783700000;4074010799.2
51;T2;39100000;39849869.152
52;T1;7754100000;8085636361.1
52;T2;128200000;126536405.92
53;T1;0;0
53;T2;0;0
54;T1;0;0
54;T2;1200000;1204624.2516
55;T1;12200000;13196339.883
55;T2;200000;204770.93771
56;T1;0;0
56;T2;0;0
57;T1;412000000;443293981.99
57;T2;153000000;155822695.14
58;T1;0;0
58;T2;0;0
59;T1;0;0
59;T2;0;0
60;T1;0;0
60;T2;0;0
61;T1;0;0
61;T2;0;0
62;T1;-10858300000;-11364624239
62;T2;0;0
63;T1;0;0
63;T2;0;0
64;T1;-1.049622E11;-1.101025E11
64;T2;0;0
65;T1;-85007400000;-89503535353
65;T2;0;0
66;T1;0;0
66;T2;-87800000;-85572414.96
67;T1;0;0
67;T2;-5891500000;-5839031459
68;T1;0;0
68;T2;-316100000;-329088763.9
69;T1;0;0
69;T2;-150200000;-161612820.7
70;T1;0;0
70;T2;0;0
71;T1;0;0
71;T2;0;0
72;T1;0;0
72;T2;0;0
73;T1;0;0
73;T2;0;0
74;T1;0;0
74;T2;0;0
75;T1;1857500000;1960745963.9
75;T2;16200000;16186471.363
76;T1;539200000;567017208.83
76;T2;100000;99538.483015
77;T1;214600000;227366911.72
77;T2;0;0
78;T1;0;0
78;T2;0;0
79;T1;0;0
79;T2;0;0
80;T1;0;0
80;T2;0;0
81;T1;0;0
81;T2;0;0
82;T1;0;0
82;T2;0;0
83;T1;0;0
83;T2;0;0
84;T1;0;0
84;T2;0;0
85;T1;0;0
85;T2;0;0
86;T1;0;0
86;T2;200000;212396.20817
87;T1;0;0
87;T2;0;0
88;T1;0;0
88;T2;0;0
89;T1;117200000;120378155.76
89;T2;200000;194444.08252
90;T1;0;0
90;T2;0;0
91;T1;0;0
91;T2;0;0
92;T1;0;0
92;T2;0;0
93;T1;0;0
93;T2;0;0
94;T1;0;0
94;T2;0;0
95;T1;0;0
95;T2;0;0
96;T1;0;0
96;T2;0;0
97;T1;0;0
97;T2;0;0
98;T1;0;0
98;T2;0;0
99;T1;0;0
99;T2;0;0
100;T1;0;0
100;T2;0;0
101;T1;0;0
101;T2;0;0
102;T1;67000000;65018156.897
102;T2;0;0
103;T1;0;0
103;T2;200000;183760.40239
104;T1;0;0
104;T2;0;0
105;T1;0;0
105;T2;0;0
106;T1;0;0
106;T2;0;0
107;T1;0;0
107;T2;0;0
108;T1;0;0
108;T2;200000;194063.71741
