R_PRODUCTO;C_RAMA;VALOR;VALOR_C
1;1;27418800000;29977697198
1;2;12400000;11324786.953
1;3;0;0
1;4;0;0
1;5;0;0
1;6;0;0
1;7;0;0
1;8;0;0
1;9;0;0
1;10;0;0
1;11;0;0
1;12;0;0
1;13;0;0
1;14;0;0
1;15;0;0
1;16;0;0
1;17;0;0
1;18;0;0
1;19;0;0
1;20;0;0
1;21;0;0
1;22;0;0
1;23;0;0
1;24;0;0
1;25;0;0
1;26;0;0
1;27;0;0
1;28;0;0
1;29;0;0
1;30;0;0
1;31;0;0
1;32;0;0
1;33;0;0
1;34;0;0
1;35;0;0
1;36;44900000;55075800.053
1;37;0;0
1;38;19500000;23074696.723
1;39;0;0
1;40;0;0
1;41;200000;203127.74998
1;42;400000;422046.56481
1;43;0;0
1;44;0;0
1;45;0;0
1;46;0;0
1;47;0;0
1;48;0;0
1;49;0;0
1;50;0;0
1;51;0;0
1;52;0;0
1;53;0;0
1;54;0;0
1;55;0;0
1;56;0;0
1;57;0;0
1;58;0;0
1;59;0;0
1;60;0;0
1;61;0;0
1;62;0;0
1;63;0;0
1;64;0;0
1;65;0;0
1;66;0;0
1;67;0;0
1;68;0;0
1;69;0;0
1;70;0;0
1;71;0;0
1;72;0;0
1;73;0;0
1;74;0;0
1;75;0;0
1;76;0;0
1;77;5900000;5844169.1273
1;78;0;0
1;79;0;0
2;1;17263800000;18996988709
2;2;200000;183838.68077
2;3;0;0
2;4;0;0
2;5;0;0
2;6;0;0
2;7;0;0
2;8;0;0
2;9;0;0
2;10;0;0
2;11;0;0
2;12;0;0
2;13;0;0
2;14;0;0
2;15;0;0
2;16;0;0
2;17;0;0
2;18;0;0
2;19;0;0
2;20;0;0
2;21;0;0
2;22;0;0
2;23;0;0
2;24;0;0
2;25;0;0
2;26;0;0
2;27;0;0
2;28;0;0
2;29;0;0
2;30;0;0
2;31;0;0
2;32;0;0
2;33;0;0
2;34;0;0
2;35;0;0
2;36;0;0
2;37;0;0
2;38;52200000;62168506.897
2;39;5900000;6980703.5942
2;40;0;0
2;41;100000;102220.45411
2;42;400000;424774.96565
2;43;0;0
2;44;0;0
2;45;0;0
2;46;0;0
2;47;0;0
2;48;0;0
2;49;0;0
2;50;0;0
2;51;0;0
2;52;0;0
2;53;0;0
2;54;0;0
2;55;0;0
2;56;0;0
2;57;0;0
2;58;0;0
2;59;0;0
2;60;0;0
2;61;0;0
2;62;0;0
2;63;0;0
2;64;0;0
2;65;0;0
2;66;0;0
2;67;0;0
2;68;3600000;3809336.9793
2;69;32200000;34246443.544
2;70;22100000;26224185.852
2;71;1000000;1007821.2045
2;72;0;0
2;73;0;0
2;74;0;0
2;75;0;0
2;76;0;0
2;77;0;0
2;78;0;0
2;79;0;0
3;1;503700000;551434883.58
3;2;900000;823044.51541
3;3;0;0
3;4;0;0
3;5;0;0
3;6;0;0
3;7;0;0
3;8;0;0
3;9;0;0
3;10;0;0
3;11;0;0
3;12;0;0
3;13;0;0
3;14;0;0
3;15;0;0
3;16;0;0
3;17;0;0
3;18;0;0
3;19;0;0
3;20;0;0
3;21;0;0
3;22;0;0
3;23;0;0
3;24;0;0
3;25;0;0
3;26;0;0
3;27;0;0
3;28;0;0
3;29;0;0
3;30;0;0
3;31;0;0
3;32;0;0
3;33;0;0
3;34;0;0
3;35;0;0
3;36;28000000;34391012.757
3;37;0;0
3;38;148700000;176191445.72
3;39;5100000;6003317.0342
3;40;0;0
3;41;0;0
3;42;0;0
3;43;0;0
3;44;0;0
3;45;0;0
3;46;0;0
