R_PRODUCTO;C_RAMA;VALOR;VALOR_C
1;1;1021400000;1103303135.4
1;2;0;0
1;3;0;0
1;4;0;0
1;5;373800000;446389826.72
1;6;296200000;331300574.65
1;7;13912900000;15189666430
1;8;1512000000;1650374486.7
1;9;92900000;86939455.755
1;10;118700000;122940133.97
1;11;97300000;87716150.587
1;12;19500000;18515793.954
1;13;5000000;6195389.3151
1;14;24800000;26701034.972
1;15;0;0
1;16;0;0
1;17;527600000;595813871.9
1;18;75500000;84892027.361
1;19;223700000;250392816.86
1;20;0;0
1;21;0;0
1;22;0;0
1;23;0;0
1;24;0;0
1;25;0;0
1;26;0;0
1;27;0;0
1;28;9200000;10582063.585
1;29;0;0
1;30;0;0
1;31;0;0
1;32;0;0
1;33;10300000;11855373.44
1;34;500000;638893.03133
1;35;100000;137220.92708
1;36;100000;149743.63104
1;37;0;0
1;38;412600000;441368766.38
1;39;24700000;25015971.025
1;40;0;0
1;41;0;0
1;42;0;0
1;43;0;0
1;44;0;0
1;45;1000000;1073534.9095
1;46;0;0
1;47;34500000;40723050.622
1;48;751300000;830240826.95
1;49;0;0
1;50;0;0
1;51;0;0
1;52;0;0
1;53;1100000;971748.40672
1;54;100000;94889.452013
1;55;300000;322842.75646
1;56;0;0
1;57;0;0
1;58;0;0
1;59;9800000;11965659.202
1;60;0;0
1;61;5500000;6777411.7854
1;62;0;0
1;63;0;0
1;64;0;0
1;65;0;0
1;66;0;0
1;67;0;0
1;68;0;0
1;69;79100000;102931213.19
1;70;0;0
1;71;126600000;127084338.91
1;72;131900000;121556452.19
1;73;66600000;71152874.631
1;74;20300000;21568837.595
1;75;200000;317240.93944
1;76;200000;225444.45385
1;77;700000;737673.99872
1;78;0;0
1;79;0;0
2;1;109900000;114010361.67
2;2;0;0
2;3;0;0
2;4;0;0
2;5;10580200000;12134349535
2;6;3079400000;3307888578.4
2;7;3221200000;3377504183.4
2;8;58900000;61743840.16
2;9;0;0
2;10;18600000;18501355.128
2;11;100100000;86665936.392
2;12;368800000;336315026.82
2;13;0;0
2;14;0;0
2;15;0;0
2;16;0;0
2;17;53500000;58023942.97
2;18;135500000;146321074.28
2;19;0;0
2;20;0;0
2;21;0;0
2;22;0;0
2;23;0;0
2;24;0;0
2;25;0;0
2;26;0;0
2;27;0;0
2;28;0;0
2;29;0;0
2;30;0;0
2;31;0;0
2;32;0;0
2;33;0;0
2;34;0;0
2;35;0;0
2;36;0;0
2;37;0;0
2;38;55400000;56915397.075
2;39;45900000;44645812.352
2;40;0;0
2;41;0;0
2;42;0;0
2;43;0;0
2;44;0;0
2;45;0;0
2;46;0;0
2;47;7300000;8275451.5679
2;48;11300000;11992694.555
2;49;0;0
2;50;0;0
2;51;0;0
2;52;0;0
2;53;0;0
2;54;0;0
2;55;0;0
